,project_id,year_start,year_finish,sector,total_ammount,province,duration_days,status,region
137,16600,2020,2021,Water and Sewer,21256995.0,buenos aires,264,Finished,Buenos Aires
138,16601,2021,2024,Water and Sewer,818614991.0,buenos aires,1002,In progress,Buenos Aires
139,16602,2019,2020,Water and Sewer,36829128.0,buenos aires,300,Finished,Buenos Aires
140,16603,2019,2022,Water and Sewer,880906130.0,buenos aires,763,Finished,Buenos Aires
141,16604,2020,2021,Water and Sewer,29824432.0,buenos aires,231,In progress,Buenos Aires
142,16605,2021,2022,Water and Sewer,168479847.0,buenos aires,536,Finished,Buenos Aires
143,16606,2021,2022,Water and Sewer,194178795.0,buenos aires,508,Finished,Buenos Aires
144,16609,2014,2021,Water and Sewer,328200116.0,buenos aires,2590,Finished,Buenos Aires
145,16611,2020,2021,Water and Sewer,239476424.0,buenos aires,536,Finished,Buenos Aires
146,16612,2019,2020,Water and Sewer,69677398.0,buenos aires,410,Finished,Buenos Aires
147,16613,2019,2020,Water and Sewer,87899070.0,buenos aires,635,Finished,Buenos Aires
148,16614,2018,2020,Water and Sewer,30797022.0,buenos aires,820,Finished,Buenos Aires
149,16615,2018,2020,Water and Sewer,148581420.0,buenos aires,667,Finished,Buenos Aires
150,16616,2018,2020,Water and Sewer,107832254.0,buenos aires,698,Finished,Buenos Aires
151,16622,2018,2021,Water and Sewer,245524232.0,buenos aires,1205,Finished,Buenos Aires
152,16623,2019,2020,Water and Sewer,92872237.0,buenos aires,528,Finished,Buenos Aires
153,16624,2020,2021,Water and Sewer,87894226.0,buenos aires,437,Finished,Buenos Aires
154,16625,2019,2020,Water and Sewer,8725283.0,buenos aires,457,Finished,Buenos Aires
155,16626,2018,2021,Water and Sewer,98665725.0,buenos aires,1309,Finished,Buenos Aires
156,16628,2020,2021,Water and Sewer,208827010.0,buenos aires,352,Finished,Buenos Aires
157,16629,2020,2021,Water and Sewer,65298477.0,buenos aires,238,Finished,Buenos Aires
158,16630,2019,2020,Water and Sewer,21718703.0,buenos aires,655,Finished,Buenos Aires
159,16632,2020,2021,Water and Sewer,302213786.0,buenos aires,322,Finished,Buenos Aires
160,16633,2020,2022,Water and Sewer,159392741.0,buenos aires,504,Finished,Buenos Aires
161,16634,2021,2022,Water and Sewer,143429599.0,buenos aires,517,Finished,Buenos Aires
162,16635,2020,2023,Water and Sewer,345852217.0,buenos aires,1004,Finished,Buenos Aires
163,16636,2021,2023,Water and Sewer,1445256162.0,buenos aires,713,In progress,Buenos Aires
164,16660,2021,2022,Water and Sewer,323737187.0,buenos aires,416,Finished,Buenos Aires
165,16663,2017,2020,Water and Sewer,68844392.0,buenos aires,1103,Finished,Buenos Aires
166,16664,2018,2021,Water and Sewer,114380171.0,buenos aires,1267,Finished,Buenos Aires
167,16667,2018,2020,Water and Sewer,153882118.0,buenos aires,903,Finished,Buenos Aires
168,16668,2019,2021,Water and Sewer,254832415.0,buenos aires,843,Finished,Buenos Aires
169,16669,2018,2021,Water and Sewer,215714432.0,buenos aires,772,Finished,Buenos Aires
170,16671,2018,2021,Water and Sewer,352760826.0,buenos aires,1069,Finished,Buenos Aires
171,16672,2017,2020,Water and Sewer,83946490.0,buenos aires,912,Finished,Buenos Aires
172,16676,2020,2022,Water and Sewer,217819493.0,buenos aires,462,Finished,Buenos Aires
173,16677,2021,2022,Water and Sewer,389262557.0,buenos aires,605,Finished,Buenos Aires
174,16678,2020,2022,Water and Sewer,31720179.0,buenos aires,765,Finished,Buenos Aires
175,16679,2019,2020,Water and Sewer,46683809.0,buenos aires,341,Finished,Buenos Aires
176,16680,2020,2021,Water and Sewer,17750731.0,buenos aires,323,Finished,Buenos Aires
177,16681,2020,2021,Water and Sewer,18831629.0,buenos aires,315,Finished,Buenos Aires
178,16682,2020,2021,Water and Sewer,45858625.0,buenos aires,322,Finished,Buenos Aires
179,16683,2020,2021,Water and Sewer,17297491.0,buenos aires,351,Finished,Buenos Aires
180,16684,2021,2023,Water and Sewer,848076333.0,buenos aires,987,In progress,Buenos Aires
181,16685,2021,2023,Water and Sewer,267929875.0,buenos aires,628,Finished,Buenos Aires
182,16689,2017,2021,Water and Sewer,84779212.0,buenos aires,1282,Finished,Buenos Aires
183,16691,2014,2022,Water and Sewer,2890701367.0,buenos aires,3122,Finished,Buenos Aires
184,16693,2015,2022,Water and Sewer,3706492232.0,buenos aires,2488,Finished,Buenos Aires
185,16697,2016,2021,Water and Sewer,167407662.0,buenos aires,1835,Finished,Buenos Aires
186,16698,2016,2021,Water and Sewer,529089376.0,buenos aires,1927,Finished,Buenos Aires
187,16710,2016,2022,Water and Sewer,179685576.0,buenos aires,2058,Finished,Buenos Aires
188,16714,2018,2020,Water and Sewer,68071421.0,buenos aires,852,Finished,Buenos Aires
189,16722,2018,2021,Water and Sewer,374817983.0,buenos aires,1200,Finished,Buenos Aires
190,16723,2018,2021,Water and Sewer,162544714.0,buenos aires,1217,Finished,Buenos Aires
191,16725,2018,2021,Water and Sewer,315321558.0,buenos aires,1106,Finished,Buenos Aires
192,16727,2017,2020,Water and Sewer,29165200.0,buenos aires,1111,Finished,Buenos Aires
193,16729,2018,2020,Water and Sewer,199564493.0,buenos aires,925,Finished,Buenos Aires
194,16732,2018,2020,Water and Sewer,434250953.0,buenos aires,778,Finished,Buenos Aires
195,16734,2020,2022,Water and Sewer,109245954.0,buenos aires,635,Finished,Buenos Aires
196,16735,2020,2021,Water and Sewer,284913694.0,buenos aires,359,Finished,Buenos Aires
197,16736,2021,2022,Water and Sewer,171491146.0,buenos aires,658,Finished,Buenos Aires
198,16737,2021,2021,Water and Sewer,18505581.0,buenos aires,245,Finished,Buenos Aires
